t_lup,t_co,t_py,det_lup,det_co,det_py,absE_lup_to_py,relE_lup_to_py,absE_co_to_py,relE_co_to_py,setNum
0.0014520000000000088,0.00020500000000001073,0.0002420000000000755,-0.23613544428437364,-0.2361354442843736,-0.23613544428437355,8.326672684688674e-17,3.526227377648997e-16,5.551115123125783e-17,2.350818251765998e-16,2.0
0.0007780000000001674,0.00020999999999982144,0.00021800000000005149,0.6352699681066222,0.6352699681066222,0.6352699681066222,0.0,0.0,0.0,0.0,2.0
0.0007580000000000364,0.00019499999999994522,0.00020799999999998597,-0.047942917030683437,-0.04794291703068343,-0.04794291703068342,1.3877787807814457e-17,2.894648191500881e-16,6.938893903907228e-18,1.4473240957504405e-16,2.0
0.0007409999999998806,0.00018899999999999473,0.00020100000000011775,-0.19763836250170239,-0.19763836250170247,-0.19763836250170244,5.551115123125783e-17,2.808723495206031e-16,2.7755575615628914e-17,1.4043617476030155e-16,2.0
0.0007699999999999374,0.00019400000000002748,0.00020500000000001073,-0.4638207917852542,-0.4638207917852542,-0.4638207917852542,0.0,0.0,0.0,0.0,2.0
0.0007239999999999469,0.0001900000000001345,0.00020200000000003548,0.20407369662752964,0.20407369662752964,0.20407369662752964,0.0,0.0,0.0,0.0,2.0
0.0007839999999998959,0.00019200000000019202,0.00020299999999995322,-0.11080562313522414,-0.11080562313522414,-0.11080562313522414,0.0,0.0,0.0,0.0,2.0
0.0007299999999998974,0.00018999999999991246,0.00020700000000006824,0.14729469135370885,0.14729469135370887,0.14729469135370885,0.0,0.0,2.7755575615628914e-17,1.8843568196886027e-16,2.0
0.0007390000000000452,0.0001909999999998302,0.00020100000000011775,0.2028541210868461,0.20285412108684617,0.2028541210868461,0.0,0.0,5.551115123125783e-17,2.73650596467263e-16,2.0
0.0007930000000000437,0.00019199999999996997,0.00021300000000001873,0.3270022942379043,0.3270022942379043,0.32700229423790433,5.551115123125783e-17,1.6975768124388674e-16,5.551115123125783e-17,1.6975768124388674e-16,2.0
0.0010300000000000864,0.00021099999999996122,0.0002169999999999117,0.004363434603152363,0.004363434603152361,0.004363434603152362,1.734723475976807e-18,3.975591784333279e-16,8.673617379884035e-19,1.9877958921666395e-16,2.0
0.0007730000000001347,0.0001929999999998877,0.00020700000000006824,0.21916578688614513,0.2191657868861452,0.2191657868861451,2.7755575615628914e-17,1.266419180200225e-16,8.326672684688674e-17,3.7992575406006757e-16,2.0
0.0007589999999999542,0.00018899999999999473,0.00020500000000001073,0.47599498051617384,0.4759949805161738,0.47599498051617384,0.0,0.0,5.551115123125783e-17,1.1662129539908377e-16,2.0
0.0007559999999999789,0.00020300000000017526,0.00022199999999994446,0.27204248290843186,0.2720424829084319,0.2720424829084319,5.551115123125783e-17,2.0405324432339707e-16,0.0,0.0,2.0
0.0007310000000000372,0.00018899999999999473,0.00020299999999995322,-0.024093277988278993,-0.024093277988278983,-0.024093277988279,6.938893903907228e-18,2.8800123865598077e-16,1.734723475976807e-17,7.200030966399519e-16,2.0
0.0007390000000000452,0.00018799999999985495,0.00019999999999997797,0.0359047582871035,0.03590475828710349,0.0359047582871035,0.0,0.0,1.3877787807814457e-17,3.865166755014521e-16,2.0
0.000732000000000177,0.00018999999999991246,0.00020200000000003548,-0.46539983549984754,-0.4653998354998476,-0.4653998354998476,5.551115123125783e-17,1.1927625881439747e-16,0.0,0.0,2.0
0.0007699999999999374,0.00019100000000005224,0.00020100000000011775,0.17071950156613996,0.17071950156613996,0.17071950156613994,2.7755575615628914e-17,1.6257999444120848e-16,2.7755575615628914e-17,1.6257999444120848e-16,2.0
0.0008279999999998289,0.00020900000000012575,0.00021099999999996122,0.022991531974501916,0.022991531974501912,0.022991531974501923,6.938893903907228e-18,3.018021553153832e-16,1.0408340855860843e-17,4.527032329730748e-16,2.0
0.0007350000000001522,0.00022100000000002673,0.00020399999999987095,0.19255754893300261,0.19255754893300264,0.1925575489330026,2.7755575615628914e-17,1.4414171643452958e-16,5.551115123125783e-17,2.8828343286905915e-16,2.0
0.0007439999999998559,0.00019100000000005224,0.00020200000000003548,0.27087267971198864,0.2708726797119887,0.2708726797119887,5.551115123125783e-17,2.049344780369924e-16,0.0,0.0,2.0
0.0007350000000001522,0.00020399999999987095,0.00020300000000017526,-0.7763385008513297,-0.7763385008513297,-0.7763385008513296,1.1102230246251565e-16,1.4300759570827553e-16,1.1102230246251565e-16,1.4300759570827553e-16,2.0
0.0007530000000000037,0.0001909999999998302,0.00020200000000003548,-0.49733862939667417,-0.4973386293966741,-0.49733862939667417,0.0,0.0,5.551115123125783e-17,1.1161640771519978e-16,2.0
0.0007189999999999142,0.00017900000000015126,0.0001909999999998302,-0.5468607396504972,-0.5468607396504973,-0.5468607396504972,0.0,0.0,1.1102230246251565e-16,2.0301750411534542e-16,2.0
0.0006930000000000547,0.00018500000000010175,0.00019199999999996997,0.2588096979205891,0.25880969792058917,0.2588096979205891,0.0,0.0,5.551115123125783e-17,2.1448636460404347e-16,2.0
0.0006870000000001042,0.00017899999999992922,0.00018999999999991246,0.01938060255426531,0.01938060255426531,0.019380602554265314,3.469446951953614e-18,1.7901646464495774e-16,3.469446951953614e-18,1.7901646464495774e-16,2.0
0.0007610000000000117,0.00019499999999994522,0.00019900000000006024,-0.8736970460531646,-0.8736970460531645,-0.8736970460531646,0.0,0.0,1.1102230246251565e-16,1.270718528396626e-16,2.0
0.0013209999999999056,0.00026100000000006673,0.00021599999999999397,0.23277032591753036,0.23277032591753033,0.23277032591753033,2.7755575615628914e-17,1.1924018023441104e-16,0.0,0.0,2.0
